ID,airport_name,type,country,lat,long,elevation,service
342188,Kasilak Airstrip,small_airport,PH,7.3335,125.5971,108.0,no
342564,Alpha Saucedo Condominium Helipad,heliport,PH,14.5611,121.02267,518.0,no
343583,ABS-CBN Building Helipad,heliport,PH,14.63962,121.03531,,no
343728,Camp Bagong Diwa Heliport,heliport,PH,14.48844,121.05724,100.0,no
343729,Fort Victoria Tower A Helipad,heliport,PH,14.54727,121.04572,,no
343730,Fort Victoria Tower B Helipad,heliport,PH,14.54695,121.04552,,no
343731,Fort Victoria Tower C Helipad,heliport,PH,14.54686,121.04591,,no
343737,Eight Forbestown Road Helipad,heliport,PH,14.55059,121.04393,,no
343738,Fort Legend Tower Helipad,heliport,PH,14.5541,121.04693,,no
343739,Globe Tower Helipad,heliport,PH,14.55344,121.05003,,no
343743,Essensa 1 Helipad,heliport,PH,14.54381,121.04649,,no
343744,Del Rosario Law Building Helipad,heliport,PH,14.54355,121.04729,,no
343745,Essensa 2 Helipad,heliport,PH,14.54294,121.04682,,no
343749,Antel Platinum Towers Helipad,heliport,PH,14.55915,121.02405,,no
343750,Forbes Tower West Helipad,heliport,PH,14.55968,121.02547,,no
343772,Baliuag Heliport,heliport,PH,14.96542,120.8948,59.0,no
343846,Bamban Airfield,small_airport,PH,15.30142,120.58954,187.0,no
343847,Angeles South (Lara) Airfield,closed,PH,15.08077,120.60094,190.0,no
343907,Kawit Airfield,closed,PH,14.41484,120.90789,,no
344152,Camp O'Donnell Officer Candidate School Heliport,heliport,PH,15.36891,120.50915,374.0,no
344153,Camp O'Donnell Armor School Heliport,heliport,PH,15.37752,120.50944,377.0,no
344465,BPI-Philam Life Makati Helipad,heliport,PH,14.55976,121.0173,,no
344466,GT Tower Helipad,heliport,PH,14.56006,121.01691,,no
344468,Cityland Herrera Tower Helipad,heliport,PH,14.55899,121.01964,,no
345015,Cabcaben Airfield,closed,PH,14.45437,120.59218,36.0,no
345017,Akle Airfield,closed,PH,15.04659,121.07582,285.0,no
348303,AES Masinloc Heliport,heliport,PH,15.574906,119.923746,62.0,no
348388,Kling Airport,small_airport,PH,5.93761,124.74409,128.0,no
348659,Inandeng Airport,closed,PH,10.52637,119.2811,20.0,no
348729,Cordon Airport,small_airport,PH,16.65674,121.43291,538.0,no
349208,FKauley Skyranch,closed,PH,9.909174,123.590131,522.0,no
349209,Casay Airstrip,closed,PH,9.821379,123.547936,157.0,no
349552,Dacudao Airport,small_airport,PH,7.2289,125.45724,732.0,no
349555,Aras-Asan Airstrip,closed,PH,8.90661,126.299658,16.0,no
349556,Bad-As Airport,closed,PH,9.63305,125.55638,344.0,no
349557,Barobo (Bahi) Airfield,closed,PH,8.53277,126.06861,180.0,no
349558,Diatagon Airport,closed,PH,8.66363,126.13471,13.0,no
349562,Elmore Airfield,closed,PH,12.43947,121.08588,85.0,no
349563,Hill Airfield,closed,PH,12.39112,121.05336,33.0,no
349565,Agutaya Airport,small_airport,PH,11.15911,120.95376,,no
32225,Former Lucena Airport,closed,PH,13.931193,121.6011,39.0,no
309720,Aparri (Maura) Airport,small_airport,PH,18.35485,121.653907,19.0,no
